District,Year,Avg_Rainfall,Avg_Temperature,Rain_Next_1,Rain_Next_24,Rain_Next_7d,Crop_Yield,Irrigation_Area
PK203,1983,3.331680555555556,19.61171833333333,10.591415081769226,2.2698131554701653,2.3833038132436735,2973.113131313132,118.70491803278688
PK203,1984,2.4199277777777777,19.920436666666667,11.67389995663762,2.423513557094708,2.5446892349494434,2973.113131313132,118.70491803278688
PK203,1985,2.6374305555555555,20.2429075,11.46533978717923,2.3901156730933764,2.5096214567480453,2973.113131313132,118.70491803278688
PK203,1986,2.6573944444444444,19.5789925,11.417543734341859,2.3824973828699427,2.50162225201344,2973.113131313132,118.70491803278688
PK203,1987,2.810427777777777,20.42715,11.51381725013852,2.39724403079115,2.517106232330707,2973.113131313132,118.70491803278688
PK203,1988,3.055322222222222,20.858066666666662,11.346741977864502,2.3709240578304986,2.489470260722024,2973.113131313132,118.70491803278688
PK203,1989,3.025525,19.541076666666665,11.504423524886368,2.3960404090430596,2.515842429495213,2973.113131313132,118.70491803278688
PK203,1990,3.990772222222222,20.35334166666667,11.451954945498704,2.389119245990491,2.508575208290016,2973.113131313132,118.70491803278688
PK203,1991,3.4930166666666667,19.842869166666667,11.25379439242482,2.3582204572713628,2.476131480134931,2973.113131313132,118.70491803278688
PK203,1992,3.4508277777777776,19.705821666666665,11.263317910081147,2.35823439981478,2.476146119805519,2973.113131313132,118.70491803278688
PK203,1993,2.821083333333333,20.407645,10.74565713008046,2.291048409596954,2.4056008300768017,2973.113131313132,118.70491803278688
PK203,1994,2.7589916666666667,20.11169333333333,11.339084226018189,2.369652497870847,2.4881351227643895,2973.113131313132,118.70491803278688
PK203,1995,3.122522222222222,19.943789166666665,11.447266194897889,2.387036230003958,2.506388041504156,2973.113131313132,118.70491803278688
PK203,1996,2.65235,19.8598875,11.674224437648057,2.4261979614539695,2.547507859526668,2973.113131313132,118.70491803278688
PK203,1997,3.242208333333333,19.44473916666667,11.485457609826325,2.3926834670895087,2.5123176404439844,2973.113131313132,118.70491803278688
PK203,1998,3.08115,20.465836666666664,11.47041791499257,2.390553384456409,2.5100810536792295,2973.113131313132,118.70491803278688
PK203,1999,3.218038888888889,20.8558725,11.613092215281723,2.412785150186346,2.5334244076956636,2973.113131313132,118.70491803278688
PK203,2000,1.9721027777777775,20.692855833333336,11.358325949937104,2.3726873248213267,2.491321691062393,2958.943566591422,118.39051918735892
PK203,2001,2.662316666666667,20.78021833333333,11.140810104590653,2.338455761223907,2.455378549285103,2975.5116279069766,118.19873150105708
PK203,2002,2.2271638888888887,20.80696083333333,11.216105923062562,2.350312922647222,2.467828568779583,2958.4765957446807,118.42978723404256
PK203,2003,2.9115111111111114,20.334099166666665,11.194868640929458,2.348367388588811,2.4657857580182516,2932.0621118012423,118.38302277432712
PK203,2004,2.7386833333333334,21.051189166666667,11.414071787530181,2.3814554101252305,2.500528180631492,2974.6029411764707,121.56302521008404
PK203,2005,4.374983333333334,20.1510325,0.15135213931202887,0.8686991035124277,0.9121340586880492,3013.8453608247423,119.97731958762888
PK203,2006,3.3265277777777778,20.994692500000003,10.791976794320343,2.2885226122315974,2.4029487428431775,2952.9848484848485,119.13636363636364
PK203,2007,3.914305555555556,20.61802833333333,11.124488709765672,2.343451078779374,2.460623632718343,2983.6586433260395,120.47045951859955
PK203,2008,3.940169444444445,20.514409166666667,11.623897432929276,2.4146066378584727,2.5353369697513966,2981.4894957983192,120.32142857142856
PK203,2009,4.422002777777778,20.910591666666665,11.346936666470764,2.37140613183168,2.4899764384232643,2987.00390625,119.109375
PK203,2010,2.507372222222222,20.9999225,11.02935087750554,2.325687771464263,2.4419721600374764,2947.7572614107885,115.64522821576764
PK203,2011,4.055280555555556,20.724895,11.377372985249757,2.375663593089454,2.4944467727439266,2957.92259414226,117.52719665271968
