,District,Year,Avg_Rainfall,Avg_Temperature,Crop_Yield,Irrigation_Area,Rain_Next_1,Rain_Next_24,Rain_Next_7d
2,PK203,1983,3.331680555555556,19.61171833333333,2973.113131313132,118.70491803278688,10.591415081769226,2.2698131554701653,2.3833038132436735
3,PK203,1984,2.4199277777777777,19.920436666666667,2973.113131313132,118.70491803278688,11.67389995663762,2.423513557094708,2.5446892349494434
4,PK203,1985,2.6374305555555555,20.2429075,2973.113131313132,118.70491803278688,11.46533978717923,2.3901156730933764,2.5096214567480453
5,PK203,1986,2.6573944444444444,19.5789925,2973.113131313132,118.70491803278688,11.417543734341859,2.3824973828699427,2.50162225201344
6,PK203,1987,2.810427777777777,20.42715,2973.113131313132,118.70491803278688,11.51381725013852,2.39724403079115,2.517106232330707
7,PK203,1988,3.055322222222222,20.858066666666662,2973.113131313132,118.70491803278688,11.346741977864502,2.3709240578304986,2.489470260722024
8,PK203,1989,3.025525,19.541076666666665,2973.113131313132,118.70491803278688,11.504423524886368,2.3960404090430596,2.515842429495213
9,PK203,1990,3.990772222222222,20.35334166666667,2973.113131313132,118.70491803278688,11.451954945498704,2.389119245990491,2.508575208290016
10,PK203,1991,3.4930166666666667,19.842869166666667,2973.113131313132,118.70491803278688,11.25379439242482,2.3582204572713628,2.476131480134931
11,PK203,1992,3.4508277777777776,19.705821666666665,2973.113131313132,118.70491803278688,11.263317910081147,2.35823439981478,2.476146119805519
12,PK203,1993,2.821083333333333,20.407645,2973.113131313132,118.70491803278688,10.74565713008046,2.291048409596954,2.4056008300768017
13,PK203,1994,2.7589916666666667,20.11169333333333,2973.113131313132,118.70491803278688,11.339084226018189,2.369652497870847,2.4881351227643895
14,PK203,1995,3.122522222222222,19.943789166666665,2973.113131313132,118.70491803278688,11.447266194897889,2.387036230003958,2.506388041504156
15,PK203,1996,2.65235,19.8598875,2973.113131313132,118.70491803278688,11.674224437648057,2.4261979614539695,2.547507859526668
16,PK203,1997,3.242208333333333,19.44473916666667,2973.113131313132,118.70491803278688,11.485457609826325,2.3926834670895087,2.5123176404439844
17,PK203,1998,3.08115,20.465836666666664,2973.113131313132,118.70491803278688,11.47041791499257,2.390553384456409,2.5100810536792295
18,PK203,1999,3.218038888888889,20.8558725,2973.113131313132,118.70491803278688,11.613092215281723,2.412785150186346,2.5334244076956636
19,PK203,2000,1.9721027777777775,20.692855833333336,2958.943566591422,118.39051918735892,11.358325949937104,2.3726873248213267,2.491321691062393
20,PK203,2001,2.662316666666667,20.78021833333333,2975.5116279069766,118.19873150105708,11.140810104590653,2.338455761223907,2.455378549285103
21,PK203,2002,2.2271638888888887,20.80696083333333,2958.4765957446807,118.42978723404256,11.216105923062562,2.350312922647222,2.467828568779583
22,PK203,2003,2.9115111111111114,20.334099166666665,2932.0621118012423,118.38302277432712,11.194868640929458,2.348367388588811,2.4657857580182516
23,PK203,2004,2.7386833333333334,21.051189166666667,2974.6029411764707,121.56302521008404,11.414071787530181,2.3814554101252305,2.500528180631492
24,PK203,2005,4.374983333333334,20.1510325,3013.8453608247423,119.97731958762888,0.15135213931202887,0.8686991035124277,0.9121340586880492
25,PK203,2006,3.3265277777777778,20.994692500000003,2952.9848484848485,119.13636363636364,10.791976794320343,2.2885226122315974,2.4029487428431775
26,PK203,2007,3.914305555555556,20.61802833333333,2983.6586433260395,120.47045951859955,11.124488709765672,2.343451078779374,2.460623632718343
27,PK203,2008,3.940169444444445,20.514409166666667,2981.4894957983192,120.32142857142856,11.623897432929276,2.4146066378584727,2.5353369697513966
28,PK203,2009,4.422002777777778,20.910591666666665,2987.00390625,119.109375,11.346936666470764,2.37140613183168,2.4899764384232643
29,PK203,2010,2.507372222222222,20.9999225,2947.7572614107885,115.64522821576764,11.02935087750554,2.325687771464263,2.4419721600374764
30,PK203,2011,4.055280555555556,20.724895,2957.92259414226,117.52719665271968,11.377372985249757,2.375663593089454,2.4944467727439266
31,PK203,2012,2.861205555555556,20.05353583333333,2974.3297413793102,119.21120689655172,11.659460551673172,2.420128983555113,2.541135432732869
32,PK203,2013,3.9382055555555553,20.652716666666667,2967.127155172414,116.41163793103448,11.422086468487976,2.3838868206966697,2.503081161731503
33,PK203,2014,2.899208333333333,20.527867500000003,2973.113131313132,118.6969696969697,11.6111453292191,2.4126617798021672,2.5332948687922756
34,PK203,2015,2.9123916666666667,20.559059166666668,3006.1066098081023,119.55863539445627,11.586922821789978,2.408676155890895,2.52910996368544
35,PK203,2016,3.0608888888888885,21.414616666666664,2985.3758389261743,120.28187919463087,11.34628770444989,2.3709902215365317,2.4895397326133586
36,PK203,2017,4.637380555555556,20.4173975,2969.108481262328,118.1577909270217,11.520258198195695,2.3981862087251,2.518095519161355
37,PK203,2018,2.337336111111111,20.4173975,2958.949494949495,119.38383838383838,11.401319683820008,2.3800047941079967,2.4990050338133964
38,PK203,2019,6.5904444444444445,20.4173975,2959.0443037974683,117.30801687763712,11.19154271057248,2.3464181365188215,2.463739043344763
39,PK203,2020,4.500194444444444,20.4173975,2975.688524590164,118.70491803278688,10.966352889329194,2.3211681903902437,2.437226599909756
40,PK203,2021,1.940911111111111,20.4173975,2973.113131313132,118.70491803278688,11.752034983950852,2.436564369235065,2.5583925876968183
41,PK203,2022,3.30095,20.4173975,2973.113131313132,118.70491803278688,11.772931561022995,2.4380154077536105,2.559916178141291
42,PK203,2023,2.9550972222222223,20.4173975,2973.113131313132,118.70491803278688,11.842954563075303,2.4490519026213633,2.5715044977524317
43,PK203,2024,5.263457142857143,20.4173975,2973.113131313132,118.70491803278688,11.888625265294312,2.456496206802998,2.579321017143148
46,PK204,1983,5.840911111111111,19.61171833333333,2973.113131313132,118.70491803278688,0.0,0.331828266066438,0.3484196793697599
47,PK204,1984,5.203961111111111,19.920436666666667,2973.113131313132,118.70491803278688,7.323502943459152,1.8499032093665235,1.9423983698348497
48,PK204,1985,4.6403638888888885,20.2429075,2973.113131313132,118.70491803278688,9.127249278342722,2.0915448938410726,2.196122138533126
49,PK204,1986,3.958269444444445,19.5789925,2973.113131313132,118.70491803278688,6.230586511106789,1.702241809172494,1.7873538996311187
50,PK204,1987,3.878869444444444,20.42715,2973.113131313132,118.70491803278688,10.336075904640554,2.253556276596091,2.3662340904258956
51,PK204,1988,5.695041666666667,20.858066666666662,2973.113131313132,118.70491803278688,10.373556503355502,2.257714238794025,2.3705999507337263
